date,generatedCoins,paymentCount,marketcap(EUR),price(EUR)
2017-12-31,2037.5,515996.0,188203260641.28,11220.999
2018-01-01,1950.0,455903.0,205950573772.8,12277.614000000001
2018-01-02,2137.5,648248.0,198863587737.6,11853.75
2018-01-03,1962.5,694576.0,218641180753.92,13031.034000000001
2018-01-04,2100.0,808680.0,222937873612.8,13285.509
2018-01-05,1787.49999925,691280.0,225980506767.36,13465.164
2018-01-06,2100.0,698765.0,254989041991.68,15192.026999999998
2018-01-07,2025.0,683244.0,255973457264.63998,15248.750999999998
2018-01-08,2075.0,701298.0,240652088770.56,14334.294
2018-01-09,2050.0,712901.0,220923814871.04,13157.619
2018-01-10,2075.0,680181.0,213133062144.0,12691.995
2018-01-11,2412.5,624669.0,218706749521.92,13022.334
2018-01-12,2225.0,575458.0,196607893831.68,11704.893
2018-01-13,1862.5,497578.0,203920194109.44,12138.588
2018-01-14,1937.5,449426.0,210058713661.44,12502.596
2018-01-15,1875.0,514589.0,201260710625.28,11977.551
2018-01-16,1987.5,572078.0,202290183045.12,12037.407000000001
2018-01-17,2087.5,587740.0,167147361730.56,9945.057
2018-01-18,2162.5,581572.0,163770128302.08,9742.956
2018-01-19,2062.5,447880.0,167170239528.96,9943.926
2018-01-20,2225.0,436493.0,170501546311.68,10140.894
2018-01-21,2337.5,397634.0,188564045660.16,11213.604000000001
2018-01-22,2087.5,440476.0,170210791587.84,10120.797
2018-01-23,2212.5,413562.0,160155763998.72,9521.715
2018-01-24,2200.0,433454.0,159574183280.63998,9485.958
2018-01-25,1975.0,407265.0,167181671301.12,9936.879
2018-01-26,1937.5,388804.0,164776095744.0,9792.72
2018-01-27,1962.5,428955.0,163607218421.76,9722.163
2018-01-28,1975.0,380072.0,168025812172.8,9983.510999999999
2018-01-29,1850.0,399726.0,172147721502.72,10227.285
2018-01-30,2087.5,394423.0,165594992640.0,9836.916
2018-01-31,1462.5,361604.0,148059580661.76,8794.134
2018-02-01,2000.0,442685.0,149963997020.16,8906.451
2018-02-02,2100.0,414774.0,133938762055.68,7953.783600000001
2018-02-03,1975.0,332534.0,129704174223.36,7701.344400000001
2018-02-04,2225.0,300607.0,134461359390.72,7982.859
2018-02-05,2312.49999924,370126.0,121212519874.56,7195.3698
2018-02-06,2125.0,456055.0,103364558684.16,6135.0225
2018-02-07,1762.5,366311.0,113694426316.8,6747.2762999999995
2018-02-08,1637.5,296659.0,111981221314.56,6644.9382
2018-02-09,1687.5,354485.0,121288437104.64,7196.5008
2018-02-10,1787.5,313546.0,127873636761.6,7586.469599999999
2018-02-11,1887.5,280973.0,126362789806.08,7496.0331
2018-02-12,2075.0,325002.0,119414303539.2,7083.0441
2018-02-13,2050.0,308786.0,130948669440.0,7766.246399999999
2018-02-14,2237.5,332629.0,126170088898.56,7481.9304
2018-02-15,1637.5,355904.0,139221922775.04,8254.8384
2018-02-16,1962.5,309500.0,148735338086.4,8818.059000000001
2018-02-17,1862.5,293702.0,149806232862.72,8880.525
2018-02-18,2025.0,283478.0,163266688450.56,9677.358
2018-02-19,2025.0,325452.0,154907839365.12,9180.762
2018-02-20,1762.5,336704.0,164896172113.92,9771.666
2018-02-21,2112.5,345916.0,166976312770.56,9893.814
2018-02-22,1862.5,395935.0,156544735150.08,9274.547999999999
2018-02-23,1850.0,316131.0,145938644828.16,8645.2509
2018-02-24,1812.5,272646.0,151103624970.24,8950.299
2018-02-25,2137.5,275153.0,143903846400.0,8522.8854
2018-02-26,1762.5,341349.0,142056574648.32,8412.4041
2018-02-27,2000.0,382900.0,152716431360.0,9042.693
2018-02-28,1937.49999927,372546.0,157043670712.32,9297.864000000001
2018-03-01,2062.5,403191.0,152621556203.52,9034.95
2018-03-02,1950.0,429514.0,161346792161.28,9550.338
2018-03-03,2250.0,342737.0,163195817164.8,9658.653
2018-03-04,1850.0,296156.0,169031651328.0,10002.738
2018-03-05,1862.5,342185.0,169565267066.88,10033.188
2018-03-06,1950.0,341783.0,169109079490.56,10005.087
2018-03-07,1962.5,368216.0,158888818606.08,9399.393
2018-03-08,2025.0,332688.0,146369502904.32,8657.7528
2018-03-09,1825.0,384354.0,138490930790.4,8190.7803
2018-03-10,1750.0,260548.0,137563246755.84,8135.0133000000005
2018-03-11,1912.5,259150.0,130253155860.48,7701.918600000001
2018-03-12,2012.5,328797.0,141305954795.52,8354.5491
2018-03-13,1975.0,320040.0,134996429045.76,7980.544800000001
2018-03-14,1800.0,315241.0,135624763146.24,8016.7455
2018-03-15,1800.0,352627.0,122039527342.08,7212.9612
2018-03-16,1950.0,354309.0,122525491691.52,7240.9317
2018-03-17,1862.5,266988.0,122525163847.68,7240.0617
2018-03-18,1887.5,291065.0,116186160660.48,6864.7524
2018-03-19,1937.5,316841.0,122879192432.64,7259.384400000001
2018-03-20,1587.5,310955.0,126951796899.84,7499.1129
2018-03-21,1900.0,314321.0,131644895723.52,7775.607599999999
2018-03-22,1787.5,316385.0,131688370667.52,7777.312800000001
2018-03-23,1662.49999856,327732.0,128708655022.08,7600.5375
2018-03-24,1950.0,269616.0,131162680197.12,7744.696500000001
2018-03-25,1687.5,238637.0,126917316280.31999,7493.1447
2018-03-26,1875.0,312810.0,125245013360.64,7393.6689
2018-03-27,1900.0,311228.0,120859460567.04,7134.0
2018-03-28,1687.5,295052.0,115519682641.92,6818.0421
2018-03-29,1900.0,325846.0,117628310077.44,6941.7909
2018-03-30,2025.0,357118.0,105734156943.36,6239.1615
2018-03-31,1600.0,248517.0,101633265254.4,5996.4576
2018-04-01,2025.0,242466.0,103273517875.2,6092.662200000001
2018-04-02,1950.0,288495.0,100952604426.24,5955.0282
2018-04-03,2037.5,328441.0,104760931123.2,6178.9662
2018-04-04,1837.5,329626.0,109997894369.28,6487.0767
2018-04-05,1950.0,297645.0,101043132088.31999,5958.3255
2018-04-06,1725.0,377430.0,100572490874.88,5929.8852
2018-04-07,2250.0,246616.0,97845906309.12,5768.5437
2018-04-08,2012.5,239498.0,102131210158.08,6020.3826
2018-04-09,1837.5,288689.0,103978717102.08,6128.5584
2018-04-10,2050.0,320440.0,100315846164.48,5912.0328
2018-04-11,2012.5,295213.0,101029818777.6,5953.8189
2018-04-12,1925.0,335325.0,102701387612.16,6051.1806
2018-04-13,2062.5,389963.0,116678781665.28,6873.9483
2018-04-14,1712.5,274869.0,116302987100.16,6850.9629
2018-04-15,2037.5,306125.0,118156053135.36,6959.4171
2018-04-16,1762.5,323438.0,123166640209.92,7253.6858999999995
2018-04-17,2025.0,349414.0,119250887639.04,7022.3442
2018-04-18,2000.0,349333.0,117385406300.16,6911.654100000001
2018-04-19,2225.0,385813.0,120573780295.68,7098.5649
2018-04-20,1712.5,404046.0,122475645173.76,7209.585599999999
2018-04-21,1987.5,332170.0,130793528033.28,7698.447300000001
2018-04-22,2000.0,305619.0,131936363151.36,7764.802199999999
2018-04-23,1912.5,379467.0,130020144414.72,7651.119299999999
2018-04-24,1987.5,420483.0,132104133672.96,7772.8758
2018-04-25,1537.5,367957.0,143457180549.12,8439.8961
2018-04-26,1762.5,374399.0,131140358307.84,7714.5684
2018-04-27,1775.0,398889.0,137415118356.48,8082.848099999999
2018-04-28,1600.0,356818.0,132231736197.12,7777.164900000001
2018-04-29,1975.0,331064.0,138267312783.36,8131.3767
2018-04-30,1937.5,365142.0,139462617169.92,8200.7157
2018-05-01,1975.0,382675.0,136894074716.16,8048.778899999999
2018-05-02,1750.0,355152.0,134735978496.0,7921.002
2018-05-03,1887.5,382920.0,136665467781.12,8033.553899999999
2018-05-04,1725.0,395233.0,143511445831.68,8435.085
2018-05-05,2012.5,347986.0,143597497712.63998,8439.2436
2018-05-06,1712.5,298239.0,145761010483.2,8565.4197
2018-05-07,1875.0,341955.0,142820208476.16,8391.7329
2018-05-08,1737.49999926,374324.0,138914576302.08,8161.356900000001
2018-05-09,2000.0,348840.0,136601638010.88,8024.6451
2018-05-10,1925.0,354923.0,138131770736.63998,8113.5851999999995
2018-05-11,1587.5,405291.0,134103638999.04,7876.075199999999
2018-05-12,2062.5,342910.0,125056431882.24,7344.0528
2018-05-13,1850.0,277402.0,126168791777.28,7408.476299999999
2018-05-14,1650.0,360717.0,129110748364.8,7580.397
2018-05-15,1825.0,363050.0,129005952368.64,7573.5153
2018-05-16,2237.5,345311.0,126043826257.92,7398.8367
2018-05-17,1650.0,316167.0,124069237063.68,7281.943499999999
2018-05-18,1850.0,391406.0,119956835205.12,7039.8921
2018-05-19,1925.0,286108.0,122399257559.04,7182.4851
2018-05-20,1800.0,281220.0,122283628462.08,7174.8813
2018-05-21,1962.5,334313.0,126379951718.4,7414.4271
2018-05-22,1887.5,327021.0,124874578329.6,7325.286900000001
2018-05-23,2025.0,364663.0,119210812293.12,6992.2596
2018-05-24,1787.5,337988.0,112164564418.56,6578.1744
2018-05-25,2200.0,364320.0,112638819041.28,6605.301
2018-05-26,2025.0,275434.0,111083185766.4,6513.2375999999995
2018-05-27,2049.9999993,259330.0,109250139586.56,6405.0096
2018-05-28,1950.0,313132.0,109400455987.2,6413.0397
2018-05-29,1737.5,335112.0,105823330467.84,6202.6302
2018-05-30,2175.0,335898.0,110884925767.68,6498.665099999999
2018-05-31,2125.0,343836.0,109955467100.16,6443.3505
2018-06-01,2075.0,447360.0,111372593479.68,6525.6089999999995
2018-06-02,1900.0,295695.0,111921204510.72,6556.9464
2018-06-03,2037.5,285966.0,113350261555.2,6639.9183
2018-06-04,2287.5,341314.0,114707021905.92,6718.6011
2018-06-05,2187.5,348466.0,111430044549.12,6525.782999999999
2018-06-06,1837.49999923,346669.0,113302617292.8,6634.5939
2018-06-07,1787.5,329925.0,113683842662.4,6656.2134
2018-06-08,1806.25,378684.0,114205734420.48,6686.071800000001
2018-06-09,1787.49999929,282421.0,113435864432.64,6640.2924
2018-06-10,1587.5,307675.0,111471424143.36,6524.6085
2018-06-11,1749.99999927,343971.0,101072345825.28,5915.3823
2018-06-12,1812.5,340711.0,102666123018.24,6008.0634
2018-06-13,1787.4999991999998,355490.0,98083878174.72,5739.2856
2018-06-14,1912.49999924,335212.0,94315284725.76,5518.1925
2018-06-15,1912.49999854,377094.0,99253361295.36,5806.4496
2018-06-16,2075.0,264540.0,96012653445.12,5616.2415
2018-06-17,1962.49999924,252845.0,97364211056.64,5694.6111
2018-06-18,2050.0,322249.0,96847942533.12,5663.760899999999
2018-06-19,1937.49999926,316994.0,100315960197.12,5865.8793000000005
2018-06-20,1937.49999921,325100.0,100749462405.12,5890.5612
2018-06-21,2124.99999927,322510.0,100899964108.8,5898.6783000000005
2018-06-22,1887.5,373827.0,100283924152.31999,5861.9556
2018-06-23,2000.0,288670.0,90652627599.36,5298.387000000001
2018-06-24,2137.49999928,273997.0,91767688642.56,5362.9236
2018-06-25,1962.5,315301.0,91893758853.12,5369.6139
2018-06-26,1825.0,311474.0,93119003934.72,5440.5885
2018-06-27,1512.5,300383.0,90609801216.0,5293.428
2018-06-28,1962.5,300659.0,91641939148.8,5353.2492
2018-06-29,1887.5,355271.0,87853853245.44,5131.3731
2018-06-30,1762.49999926,277981.0,92572217425.92,5406.3714
2018-07-01,1837.49999923,269207.0,95523510435.84,5578.1616
2018-07-02,1762.5,336826.0,95067387002.88,5550.9306
2018-07-03,1449.99999922,344382.0,98300212346.88,5739.0942
2018-07-04,1674.99994556,336379.0,97626136903.68,5699.2569
2018-07-05,1712.49999927,319874.0,98363528970.24,5741.7477
2018-07-06,1999.99994622,432381.0,98954389094.4,5775.6603
2018-07-07,1950.0,277763.0,99413527265.28,5801.7777
2018-07-08,1975.0,274916.0,102243717611.52,5966.286
2018-07-09,1699.99999921,322535.0,101022299750.4,5894.3196
2018-07-10,1862.49994597,339389.0,100497485905.92,5863.1127
2018-07-11,1687.5,313756.0,94416809410.56,5507.7699
2018-07-12,1762.5,304588.0,95410596741.12,5565.1986
2018-07-13,1787.5,371436.0,93007793602.56,5424.4761
2018-07-14,1662.5,277214.0,93203523502.08,5435.325
2018-07-15,1662.5,265588.0,93588340899.84,5457.249
2018-07-16,1500.0,328693.0,94855635517.44,5530.5987000000005
2018-07-17,1987.5,369601.0,100573894901.76,5863.4955
2018-07-18,2174.99999853,377654.0,109177030410.24,6364.328399999999
2018-07-19,2137.4999993,356263.0,110129359749.12,6419.034
2018-07-20,1925.0,390930.0,111474837995.52,6496.638
2018-07-21,1712.5,298834.0,109775188623.36,6396.8664
2018-07-22,2275.0,280340.0,110757864898.56,6453.486
2018-07-23,2075.0,356168.0,110726406144.0,6450.7977
2018-07-24,1987.49999924,406479.0,115247215902.72,6713.3637
2018-07-25,2212.49999928,409243.0,125166045757.44,7290.3042
2018-07-26,2062.5,371182.0,122152348385.28,7113.8595000000005
2018-07-27,2087.49999847,418484.0,118783546245.12,6916.848
2018-07-28,1812.49999927,305235.0,122065469767.68,7107.082200000001
2018-07-29,2124.99989145,301795.0,122627693445.12,7139.0634
2018-07-30,1675.0,367965.0,122878317131.73,7152.7746
2018-07-31,1837.49999922,392240.0,122286806358.06,7117.644
2018-08-01,1874.99999844,377686.0,116138601297.03,6759.0648
2018-08-02,1912.49999851,358896.0,114135057889.44,6641.7453
2018-08-03,2075.0,436035.0,113070331356.56999,6579.0618
2018-08-04,2200.0,333559.0,111237634518.27,6471.6429
2018-08-05,2000.0,297092.0,105156245316.3,6117.0396
2018-08-06,1637.49999921,349815.0,105644852147.19,6144.757799999999
2018-08-07,1887.5,365984.0,104089972101.78,6053.738399999999
2018-08-08,1962.49999852,390751.0,100937809432.44,5869.7595
2018-08-09,1862.5,360943.0,94346599268.25,5485.8372
2018-08-10,2199.99999927,417084.0,98335045640.04,5717.1354
2018-08-11,2125.0,308729.0,92576226982.74,5381.6373
2018-08-12,1937.49999926,283875.0,94052612876.34,5466.7755
2018-08-13,1874.99999924,355002.0,94927025839.98,5516.9832
2018-08-14,1700.0,393307.0,94133214818.04,5470.2642
2018-08-15,2012.49999922,417302.0,93150949355.1,5412.6354
2018-08-16,1975.0,362609.0,94252114619.97,5475.9801
2018-08-17,1900.0,399526.0,94961893039.65,5516.5917
2018-08-18,2000.0,308597.0,98604848582.79,5727.5841
2018-08-19,1812.49999844,316565.0,96206860594.08,5587.635899999999
2018-08-20,1875.0,349379.0,97384386675.06,5655.4437
2018-08-21,1849.99999932,340058.0,94406874786.6,5481.930899999999
2018-08-22,1999.9999985,369529.0,97191899983.29,5643.0375
2018-08-23,1862.49999927,338921.0,95481129511.62,5543.0658
2018-08-24,1825.0,382945.0,98191800739.47,5699.8224
2018-08-25,1687.5,319211.0,100727017905.87,5846.3565
2018-08-26,2162.49999858,283228.0,101256895927.26,5876.5368
2018-08-27,2312.49999927,351392.0,100612236183.69,5838.396
2018-08-28,1912.5,368006.0,103328853690.15,5995.2396
